,ID,NAME,Filing Type,Status,Standing - AR,Standing - RA,Standing - Other,Formed In,Term of Duration,Initial Filing Date,Principal Address,Mailing Address,AR Due Date,Registered Agent,Owner Name,Owner Address,Nature of Business,Expiration Date,Commercial Registered Agent,Owners,,Delayed Effective Date,Entity Type
33,274036,Xe USA,Trade Name,Active,,,,,Expires - 5 years,01/24/2019,"7001 VILLAGE DR 
STE 200
BUENA PARK, CA 90621","7001 VILLAGE DR 
STE 200
BUENA PARK, CA 90621",,,"CONTINENTAL EXCHANGE SOLUTIONS, INC.","7001 VILLAGE DR STE 200
BUENA PARK, CA 90621-2232",Money transmission services,01/24/2024,,,,,
34,170193,XELLIA PHARMACEUTICALS USA LLC,Limited Liability Company - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,07/16/2018,"8841 WADFORD DRIVE
RALEIGH, NC 27616","8841 WADFORD DR
RALEIGH, NC 27616-9057",11/16/2020,,,,,,"REGISTERED AGENTS INC.
3003 32ND AVE S STE 240
FARGO, ND  58108",,,,
35,282675,"Xencom Energy Management, LLC",Limited Liability Company - Business - Foreign,Active,Good,Good,Good,TEXAS,Perpetual,07/31/2019,"1609 PRECISION DRIVE
3000``
JOHN W. LUXEN
PLANO, TX 75074","1609 PRECISION DR
STE 3000
JOHN W. LUXEN
PLANO, TX 75074-8676",11/16/2020,,,,,,"REGISTERED AGENT SOLUTIONS, INC.
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121",,,,
36,135134,Xenex Disinfection Services Inc.,Corporation - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,03/20/2014,"121 INTERPARK BLVD
STE 104
SAN ANTONIO, TX 78216-1844","121 INTERPARK BLVD
STE 104
SAN ANTONIO, TX 78216-1844",05/17/2021,,,,,,"INCORP SERVICES, INC.
4501 COLEMAN ST
STE 102
BISMARCK, ND  58503",,,,
37,154726,"XENITH, LLC",Limited Liability Company - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,06/27/2016,"1201 WOODWARD AVE
DETROIT, MI 48226-2006","1201 WOODWARD AVE
DETROIT, MI 48226-2039",11/16/2020,,,,,,"UNITED AGENT GROUP INC.
1709 N 19TH ST #3
BISMARCK, ND  58501-2121",,,,
38,148120,XERCOR INSURANCE SERVICES LLC,Limited Liability Company - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,08/17/2015,"8435 KEYSTONE CROSSING
SUITE 240
INDIANAPOLIS, IN 46240-4357","8435 KEYSTONE XING
STE 240
INDIANAPOLIS, IN 46240-4357",11/16/2020,,,,,,"COGENCY GLOBAL INC.
120 W SWEET AVE STE 9
BISMARCK, ND  58504",,,,
39,275237,"Xeris Pharmaceuticals, Inc.",Corporation - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,02/14/2019,"180 N LASALLE STREET
STE 1600
BLAINE ROEDER
CHICAGO, IL 60601","180 N LA SALLE ST
STE 1600
BLAINE ROEDER
CHICAGO, IL 60601-2603",05/17/2021,,,,,,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504",,,,
40,17447,XEROX CORPORATION,Corporation - Business - Foreign,Active,Good,Good,Good,NEW YORK,Perpetual,05/05/1964,"201 MERRITT 7
NORWALK, CT 06851-1056","201 MERRITT 7
NORWALK, CT 06851-1056",05/17/2021,,,,,,"THE PRENTICE-HALL CORPORATION SYSTEM, INC.
1709 N 19TH ST STE 3
BISMARCK, ND  58501",,,,
41,73374,XEROX FINANCIAL SERVICES LLC,Limited Liability Company - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,02/04/2003,"201 MERRITT 7, 6TH & 7TH FLOOR
NORWALK, CT 06851","201 MERRITT 7
STE 7
NORWALK, CT 06851-1047",11/15/2021,,,,,,"CORPORATION SERVICE COMPANY
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121",,,,
42,268198,XEROX GOVERNMENT SYSTEMS,Trade Name,Active,,,,,Expires - 5 years,06/25/2017,"2828 N HASKELL AVE FL 9
DALLAS, TX 75204-2909","2828 N HASKELL AVE FL 9
DALLAS, TX 75204-2909",,,"CONDUENT GOVERNMENT SYSTEMS, LLC","5860 TRINITY PARKWAY
SUITE 120
CENTREVILLE, VA 20120",BUSINESS PROCESS OUTSOURCING,06/25/2022,,,,,
43,268196,XEROX STATE & LOCAL SOLUTIONS,Trade Name,Active,,,,,Expires - 5 years,06/25/2017,"8260 WILOW OAKS CORPORATE DR
STE 600
FAIRFAX, VA 22031","8260 WILOW OAKS CORPORATE DR
STE 600
FAIRFAX, VA 22031",,,"CONDUENT STATE & LOCAL SOLUTIONS, INC.","100 CAMPUS DR
FLORHAM PARK, NJ 07932-1020",BUSINESS PROCESS OUTSOURCING,06/25/2022,,,,,
44,268202,XEROX STATE HEALTHCARE,Trade Name,Active,,,,,Expires - 5 years,06/25/2017,"2828 N HASKELL AVE FL 9
DALLAS, TX 75204-2909","2828 N HASKELL AVE FL 9
DALLAS, TX 75204-2909",,,"CONDUENT STATE HEALTHCARE, LLC","100 CAMPUS DRIVE
FLORHAM PARK, NJ 07932 ",BUSINESS PROCESS OUTSOURCING,06/25/2022,,,,,
45,62403,"XETA TECHNOLOGIES, INC.",Corporation - Business - Foreign,Active,Good,Good,Good,OKLAHOMA,Perpetual,04/06/2000,"4001 N. RODNEY PARHAM
LITTLE ROCK, AR 72212-2459","4001 N RODNEY PARHAM RD
LITTLE ROCK, AR 72212-2459",05/17/2021,,,,,,"REGISTERED AGENT SOLUTIONS, INC.
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121",,,,
46,288488,X-Factor Energy Services LLC,Limited Liability Company - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Perpetual,11/21/2019,"13113 48 T WAY NW
WILLISTON, ND 58801","13113 48T WAY NW
WILLISTON, ND 58801-9224",11/16/2020,"KADEN  ELWESS
13113 48 T WAY NW
WILLISTON, ND  58801",,,,,,,,,
47,282742,XFI Inc,Corporation - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Perpetual,07/29/2019,"1301 UNIVERSITY AVE
GRAND FORKS, ND 58203","1301 UNIVERSITY AVE
GRAND FORKS, ND 58203-3458",08/02/2021,"CLIFF  COSS
1301 UNIVERSITY AVE
GRAND FORKS, ND  58203",,,,,,,,,
48,269798,XFINITY HOME,Trade Name,Active,,,,,Expires - 5 years,11/28/2017,"1701 JOHN F KENNEDY BLVD
PHILADELPHIA, PA 19103-2838","1701 JOHN F KENNEDY BLVD
PHILADELPHIA, PA 19103-2838",,,"COMCAST BROADBAND SECURITY, LLC","1701 JOHN F KENNEDY BLVD
PHILADELPHIA, PA 19103-2838",INSTALL/SERVICE XFINITY SECURITY SYSTEMS,11/28/2022,,,,,
49,100168,"X-GEN PHARMACEUTICALS, INC.",Corporation - Business - Foreign,Active,Good,Good,Good,NEW YORK,Perpetual,06/19/2010,"300 DANIEL ZENKER DR
HORSEHEADS, NY 14845","300 DANIEL ZENKER DR
HORSEHEADS, NY 14845-1014",05/17/2021,,,,,,"INCORP SERVICES, INC.
4501 COLEMAN ST
STE 102
BISMARCK, ND  58503",,,,
50,117057,"XGP PROPERTIES, LLC",Limited Liability Company - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Perpetual,05/21/2012,"3612 GRAYSON DR
BURLINGTON, ND 58722","3612 GRAYSON DR
BURLINGTON, ND 58722-9541",11/16/2020,"GEORGE  POITRA
3612 GRAYSON DR
BURLINGTON, ND  58722-9541",,,,,,,,,
51,266292,X-GRAIN CREATIONS,Trade Name,Active,,,,,Expires - 5 years,01/06/2017,"7021 ENDICOTT DR
BISMARCK, ND 58503-6900","7021 ENDICOTT DR
BISMARCK, ND 58503-6900",,,,,"CUSTOM & PRODUCTION WOODWORKING, FURNITURE MAKING & REPAIR, REFINISHING, ART, HOME DECOR, CARVING, ENGRAVING",01/06/2022,,,,,
52,14868,"XH, LLC",Limited Liability Company - Business - Foreign,Active,Good,Good,Good,DELAWARE,Perpetual,05/04/1983,"22777 SPRINGWOODS VILLAGE PKWY
SPRING, TX 77389-1425","22777 SPRINGWOODS VILLAGE PKWY
SPRING, TX 77389-1425",11/15/2021,,,,,,"CORPORATION SERVICE COMPANY
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121",,,,
53,74042,"XIE XIE, LLC",Limited Liability Company - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Perpetual,03/28/2003,"317 BROADWAY N
FARGO, ND 58102-4714","317 BROADWAY N
FARGO, ND 58102-4714",11/15/2021,"CINDY  O'DAY
2991 PETERSON PKWY NE
FARGO, ND  58102-1752",,,,,,,,,
54,266340,XII TO 4,Trade Name,Active,,,,,Expires - 5 years,01/10/2017,"181 2ND AVE NW
PO BOX 862
KILLDEER, ND 58640-0862","181 2ND AVE NW
PO BOX 862
KILLDEER, ND 58640-0862",,,JASON J NORTH,"PO BOX 862
KILLDEER, ND 58640-0862",GENERAL CONTRACTOR,01/10/2022,,,,,
55,266286,XINSURANCE,Trade Name,Active,,,,,Expires - 5 years,01/06/2017,"8722 S HARRISON ST
PO BOX 469
SANDY, UT 84091-0469","8722 S HARRISON ST
PO BOX 469
SANDY, UT 84091-0469",,,"EVOLUTION INSURANCE BROKERS, LLC","8722 S HARRISON ST
SANDY, UT 84070",AGENCY ENGAGED IN SALE OF INSURANCE PRODUCTS,01/06/2022,,,,,
56,136423,"XIPHOS TECHNICAL SERVICES, LLC",Limited Liability Company - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Perpetual,05/12/2014,"198 BERTHOLD ST
PLAZA, ND 58771-0008","PO BOX 8
PLAZA, ND 58771-0008",11/15/2021,"DARIN K POWELL
198 BERTHOLD ST
PO BOX 8
PLAZA, ND  58771-0008",,,,,,,,,
57,169747,XJK SERVICES LLC,Limited Liability Company - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Perpetual,06/22/2018,"1850 ABRAHAM PKWY UNIT 2
DICKINSON, ND 58601-5597","1850 ABRAHAM PKWY UNIT 2
DICKINSON, ND 58601-5597",11/16/2020,"XAVIER  KILBY
1850 ABRAHAM PKWY UNIT 2
DICKINSON, ND  58601-5597",,,,,,,,,
58,293283,XL Farms,Trade Name,Active,,,,,Expires - 5 years,03/04/2020,"14079 41ST ST NW
ALEXANDER, ND 58831","14079 41ST ST NW
ALEXANDER, ND 58831-8719",,,,,Farm trucking,03/04/2025,,"Corey K Getzlaff
14079 41ST ST NW
ALEXANDER, ND 58831-8719","Cindy J Getzlaff
14079 41ST ST NW
ALEXANDER, ND 58831-8719",,
59,47640,"XL HOMES, CORP.",Corporation - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Perpetual,05/24/1996,"2517 MEMORIAL HWY
MANDAN, ND 58554-4628","2517 MEMORIAL HWY
MANDAN, ND 58554-4628",08/02/2021,"DAN  MASSETH
2695 28TH ST
MANDAN, ND  58554-8005",,,,,,,,,
60,136264,"XL INDUSTRIAL SERVICES, INC.",Corporation - Business - Foreign,Active,Good,Good,Good,INDIANA,Perpetual,05/06/2014,"1920 N 400 W
LA PORTE, IN 46350-2131","1920 N 400 W
LA PORTE, IN 46350-2131",05/17/2021,,,,,,"CORPORATION SERVICE COMPANY
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121",,,,
61,290974,XL LOGISTICS LLC,Limited Liability Company - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Expires,01/13/2020,"1532 27TH AVE S
104
FARGO, ND 58103","1532 27TH AVE S
APT 104
FARGO, ND 58103-5699",11/15/2021,"MOHAMED  MOHAMED
1532 27TH AVE S
104
FARGO, ND  58103",,,,12/31/2050,,,,,
62,147460,"XL MEDIAWORKS, INC.",Corporation - Business - Foreign,Active,Not Good,Good,Good,SOUTH CAROLINA,Perpetual,07/22/2015,"1125 SPARKLEBERRY LANE EXT
COLUMBIA, SC 29223-7015","1125 SPARKLEBERRY LANE EXT
COLUMBIA, SC 29223-7015",05/15/2020,,,,,,"REGISTERED AGENTS INC.
3003 32ND AVE S STE 240
FARGO, ND  58108",,,,
63,123072,"XL TRANSPORT, LLC",Limited Liability Company - Business - Domestic,Active,Good,Good,Good,NORTH DAKOTA,Perpetual,12/04/2012,"14079 41ST ST NW
ALEXANDER, ND 58831-8719","14079 41ST ST NW
ALEXANDER, ND 58831-8719",11/15/2021,"COREY  GETZLAFF
14079 41ST ST NW
ALEXANDER, ND  58831-8719",,,,,,,,,
64,294747,"XLHome, P.C. (dba Home Health Assessments of North Dakota, P.C.)",Corporation - Professional - Foreign,Active,Good,Good,Good,MARYLAND,Perpetual,04/07/2020,"6675 BUSINESS PARKWAY
STE F
ELKRIDGE, MD 21075","6675 BUSINESS PARKWAY
STE F
ELKRIDGE, MD 21075",05/15/2021,,,,,,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504",,,,
65,268062,XLT HOME REPAIR,Trade Name,Active,,,,,Expires - 5 years,06/15/2017,"461 1ST ST W
JAMESTOWN, ND 58401-4001","461 1ST ST W
JAMESTOWN, ND 58401-4001",,,"X-RAY LIMA TANGO, LLC","218 1ST AVE S
JAMESTOWN, ND 58401","GENERAL CONSTRUCTION AND REPAIR, REMODELING",06/15/2022,,,,,
66,280171,"XLT Management Services, Inc.",Corporation - Business - Foreign,Active,Good,Good,Good,ILLINOIS,Perpetual,05/29/2019,"6318 KINGSBRIDGE DRIVE
CARY, IL 60013","6318 KINGSBRIDGE DR
CARY, IL 60013-6401",05/17/2021,,,,,,"C T CORPORATION SYSTEM
120 W SWEET AVE
BISMARCK, ND  58504",,,,
67,270532,XLT TAXI,Trade Name,Active,,,,,Expires - 5 years,02/21/2018,"461 1ST ST W
JAMESTOWN, ND 58401-4001","461 1ST ST W
JAMESTOWN, ND 58401-4001",,,"X-RAY LIMA TANGO, LLC","218 1ST AVE S
JAMESTOWN, ND 58401",TAXI CAB SERVICE,02/21/2023,,,,,
68,280560,XLT Transport,Trade Name,Active,,,,,Expires - 5 years,06/07/2019,"218 1ST AVE S
JAMESTOWN, ND 58401","218 1ST AVE S
JAMESTOWN, ND 58401",,,"X-RAY LIMA TANGO, LLC","218 1ST AVE S
JAMESTOWN, ND 58401",Transport building supplies,06/07/2024,,,,,
69,85802,XN FINANCIAL SERVICES INC.,Corporation - Business - Foreign,Active,Good,Good,Good,FLORIDA,Perpetual,02/06/2007,"2424 N FEDERAL HWY STE 314
BOCA RATON, FL 33431-7780","2424 N FEDERAL HWY
STE 314
BOCA RATON, FL 33431-7780",05/17/2021,,,,,,"REGISTERED AGENT SOLUTIONS, INC.
1709 N 19TH ST STE 3
BISMARCK, ND  58501-2121",,,,
70,270408,XO BEAUTY,Trade Name,Active,,,,,Expires - 5 years,02/06/2018,"607 13TH ST NE
JAMESTOWN, ND 58401-2600","607 13TH ST NE
JAMESTOWN, ND 58401-2600",,,ASHLEY MACK,"742 10TH ST NE
JAMESTOWN, ND 58401-3420","BOOTH RENTAL, HAIR SALON",02/06/2023,,,,,
